2018-12-10 16:47:44,498 INFO [localhost-startStop-1] org.springframework.web.context.ContextLoader.initWebApplicationContext(285) | Root WebApplicationContext: initialization started
2018-12-10 16:47:44,561 INFO [localhost-startStop-1] org.springframework.context.support.AbstractApplicationContext.prepareRefresh(510) | Refreshing Root WebApplicationContext: startup date [Mon Dec 10 16:47:44 CST 2018]; root of context hierarchy
2018-12-10 16:47:44,607 INFO [localhost-startStop-1] org.springframework.beans.factory.xml.XmlBeanDefinitionReader.loadBeanDefinitions(317) | Loading XML bean definitions from file [E:\works1\tao-portal\target\classes\spring\applicationContext-service.xml]
2018-12-10 16:47:44,873 INFO [localhost-startStop-1] org.springframework.core.io.support.PropertiesLoaderSupport.loadProperties(172) | Loading properties file from class path resource [properties/resource.properties]
2018-12-10 16:47:44,873 INFO [localhost-startStop-1] org.springframework.beans.factory.annotation.AutowiredAnnotationBeanPostProcessor.<init>(153) | JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2018-12-10 16:47:44,888 INFO [localhost-startStop-1] org.springframework.web.context.ContextLoader.initWebApplicationContext(325) | Root WebApplicationContext: initialization completed in 390 ms
2018-12-10 16:47:44,935 INFO [localhost-startStop-1] org.springframework.web.servlet.FrameworkServlet.initServletBean(484) | FrameworkServlet 'tao-portal': initialization started
2018-12-10 16:47:44,935 INFO [localhost-startStop-1] org.springframework.context.support.AbstractApplicationContext.prepareRefresh(510) | Refreshing WebApplicationContext for namespace 'tao-portal-servlet': startup date [Mon Dec 10 16:47:44 CST 2018]; parent: Root WebApplicationContext
2018-12-10 16:47:44,935 INFO [localhost-startStop-1] org.springframework.beans.factory.xml.XmlBeanDefinitionReader.loadBeanDefinitions(317) | Loading XML bean definitions from class path resource [spring/springmvc.xml]
2018-12-10 16:47:45,060 INFO [localhost-startStop-1] org.springframework.beans.factory.annotation.AutowiredAnnotationBeanPostProcessor.<init>(153) | JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2018-12-10 16:47:45,216 INFO [localhost-startStop-1] org.springframework.web.servlet.handler.AbstractHandlerMethodMapping.registerHandlerMethod(220) | Mapped "{[/index],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public java.lang.String com.taotao.portal.controller.IndexController.showIndex(org.springframework.ui.Model)
2018-12-10 16:47:46,620 INFO [localhost-startStop-1] org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter.initControllerAdviceCache(518) | Looking for @ControllerAdvice: WebApplicationContext for namespace 'tao-portal-servlet': startup date [Mon Dec 10 16:47:44 CST 2018]; parent: Root WebApplicationContext
2018-12-10 16:47:46,713 INFO [localhost-startStop-1] org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter.initControllerAdviceCache(518) | Looking for @ControllerAdvice: WebApplicationContext for namespace 'tao-portal-servlet': startup date [Mon Dec 10 16:47:44 CST 2018]; parent: Root WebApplicationContext
2018-12-10 16:47:46,854 INFO [localhost-startStop-1] org.springframework.web.servlet.FrameworkServlet.initServletBean(503) | FrameworkServlet 'tao-portal': initialization completed in 1919 ms
2018-12-10 19:08:39,696 INFO [localhost-startStop-1] org.springframework.web.context.ContextLoader.initWebApplicationContext(285) | Root WebApplicationContext: initialization started
2018-12-10 19:08:39,770 INFO [localhost-startStop-1] org.springframework.context.support.AbstractApplicationContext.prepareRefresh(510) | Refreshing Root WebApplicationContext: startup date [Mon Dec 10 19:08:39 CST 2018]; root of context hierarchy
2018-12-10 19:08:39,808 INFO [localhost-startStop-1] org.springframework.beans.factory.xml.XmlBeanDefinitionReader.loadBeanDefinitions(317) | Loading XML bean definitions from file [E:\works1\tao-portal\target\classes\spring\applicationContext-service.xml]
2018-12-10 19:08:40,055 INFO [localhost-startStop-1] org.springframework.core.io.support.PropertiesLoaderSupport.loadProperties(172) | Loading properties file from class path resource [properties/resource.properties]
2018-12-10 19:08:40,059 INFO [localhost-startStop-1] org.springframework.beans.factory.annotation.AutowiredAnnotationBeanPostProcessor.<init>(153) | JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2018-12-10 19:08:40,086 INFO [localhost-startStop-1] org.springframework.web.context.ContextLoader.initWebApplicationContext(325) | Root WebApplicationContext: initialization completed in 388 ms
2018-12-10 19:08:40,115 INFO [localhost-startStop-1] org.springframework.web.servlet.FrameworkServlet.initServletBean(484) | FrameworkServlet 'tao-portal': initialization started
2018-12-10 19:08:40,118 INFO [localhost-startStop-1] org.springframework.context.support.AbstractApplicationContext.prepareRefresh(510) | Refreshing WebApplicationContext for namespace 'tao-portal-servlet': startup date [Mon Dec 10 19:08:40 CST 2018]; parent: Root WebApplicationContext
2018-12-10 19:08:40,119 INFO [localhost-startStop-1] org.springframework.beans.factory.xml.XmlBeanDefinitionReader.loadBeanDefinitions(317) | Loading XML bean definitions from class path resource [spring/springmvc.xml]
2018-12-10 19:08:40,216 INFO [localhost-startStop-1] org.springframework.beans.factory.annotation.AutowiredAnnotationBeanPostProcessor.<init>(153) | JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2018-12-10 19:08:40,363 INFO [localhost-startStop-1] org.springframework.web.servlet.handler.AbstractHandlerMethodMapping.registerHandlerMethod(220) | Mapped "{[/index],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public java.lang.String com.taotao.portal.controller.IndexController.showIndex(org.springframework.ui.Model)
2018-12-10 19:08:40,364 INFO [localhost-startStop-1] org.springframework.web.servlet.handler.AbstractHandlerMethodMapping.registerHandlerMethod(220) | Mapped "{[/search],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public java.lang.String com.taotao.portal.controller.SearchController.search(java.lang.String,java.lang.Integer,java.lang.Integer,org.springframework.ui.Model)
2018-12-10 19:08:40,669 INFO [localhost-startStop-1] org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter.initControllerAdviceCache(518) | Looking for @ControllerAdvice: WebApplicationContext for namespace 'tao-portal-servlet': startup date [Mon Dec 10 19:08:40 CST 2018]; parent: Root WebApplicationContext
2018-12-10 19:08:40,703 INFO [localhost-startStop-1] org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter.initControllerAdviceCache(518) | Looking for @ControllerAdvice: WebApplicationContext for namespace 'tao-portal-servlet': startup date [Mon Dec 10 19:08:40 CST 2018]; parent: Root WebApplicationContext
2018-12-10 19:08:40,764 INFO [localhost-startStop-1] org.springframework.web.servlet.FrameworkServlet.initServletBean(503) | FrameworkServlet 'tao-portal': initialization completed in 649 ms
2018-12-10 19:13:31,467 INFO [localhost-startStop-1] org.springframework.web.context.ContextLoader.initWebApplicationContext(285) | Root WebApplicationContext: initialization started
2018-12-10 19:13:31,554 INFO [localhost-startStop-1] org.springframework.context.support.AbstractApplicationContext.prepareRefresh(510) | Refreshing Root WebApplicationContext: startup date [Mon Dec 10 19:13:31 CST 2018]; root of context hierarchy
2018-12-10 19:13:31,602 INFO [localhost-startStop-1] org.springframework.beans.factory.xml.XmlBeanDefinitionReader.loadBeanDefinitions(317) | Loading XML bean definitions from file [E:\works1\tao-portal\target\classes\spring\applicationContext-service.xml]
2018-12-10 19:13:32,045 INFO [localhost-startStop-1] org.springframework.core.io.support.PropertiesLoaderSupport.loadProperties(172) | Loading properties file from class path resource [properties/resource.properties]
2018-12-10 19:13:32,049 INFO [localhost-startStop-1] org.springframework.beans.factory.annotation.AutowiredAnnotationBeanPostProcessor.<init>(153) | JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2018-12-10 19:13:32,078 INFO [localhost-startStop-1] org.springframework.web.context.ContextLoader.initWebApplicationContext(325) | Root WebApplicationContext: initialization completed in 608 ms
2018-12-10 19:13:32,108 INFO [localhost-startStop-1] org.springframework.web.servlet.FrameworkServlet.initServletBean(484) | FrameworkServlet 'tao-portal': initialization started
2018-12-10 19:13:32,112 INFO [localhost-startStop-1] org.springframework.context.support.AbstractApplicationContext.prepareRefresh(510) | Refreshing WebApplicationContext for namespace 'tao-portal-servlet': startup date [Mon Dec 10 19:13:32 CST 2018]; parent: Root WebApplicationContext
2018-12-10 19:13:32,113 INFO [localhost-startStop-1] org.springframework.beans.factory.xml.XmlBeanDefinitionReader.loadBeanDefinitions(317) | Loading XML bean definitions from class path resource [spring/springmvc.xml]
2018-12-10 19:13:32,218 INFO [localhost-startStop-1] org.springframework.beans.factory.annotation.AutowiredAnnotationBeanPostProcessor.<init>(153) | JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2018-12-10 19:13:32,360 INFO [localhost-startStop-1] org.springframework.web.servlet.handler.AbstractHandlerMethodMapping.registerHandlerMethod(220) | Mapped "{[/index],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public java.lang.String com.taotao.portal.controller.IndexController.showIndex(org.springframework.ui.Model)
2018-12-10 19:13:32,361 INFO [localhost-startStop-1] org.springframework.web.servlet.handler.AbstractHandlerMethodMapping.registerHandlerMethod(220) | Mapped "{[/search],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public java.lang.String com.taotao.portal.controller.SearchController.search(java.lang.String,java.lang.Integer,java.lang.Integer,org.springframework.ui.Model)
2018-12-10 19:13:32,665 INFO [localhost-startStop-1] org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter.initControllerAdviceCache(518) | Looking for @ControllerAdvice: WebApplicationContext for namespace 'tao-portal-servlet': startup date [Mon Dec 10 19:13:32 CST 2018]; parent: Root WebApplicationContext
2018-12-10 19:13:32,704 INFO [localhost-startStop-1] org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter.initControllerAdviceCache(518) | Looking for @ControllerAdvice: WebApplicationContext for namespace 'tao-portal-servlet': startup date [Mon Dec 10 19:13:32 CST 2018]; parent: Root WebApplicationContext
2018-12-10 19:13:32,786 INFO [localhost-startStop-1] org.springframework.web.servlet.FrameworkServlet.initServletBean(503) | FrameworkServlet 'tao-portal': initialization completed in 678 ms
2018-12-10 19:15:15,621 INFO [localhost-startStop-1] org.springframework.web.context.ContextLoader.initWebApplicationContext(285) | Root WebApplicationContext: initialization started
2018-12-10 19:15:15,708 INFO [localhost-startStop-1] org.springframework.context.support.AbstractApplicationContext.prepareRefresh(510) | Refreshing Root WebApplicationContext: startup date [Mon Dec 10 19:15:15 CST 2018]; root of context hierarchy
2018-12-10 19:15:15,763 INFO [localhost-startStop-1] org.springframework.beans.factory.xml.XmlBeanDefinitionReader.loadBeanDefinitions(317) | Loading XML bean definitions from file [E:\works1\tao-portal\target\classes\spring\applicationContext-service.xml]
2018-12-10 19:15:16,025 INFO [localhost-startStop-1] org.springframework.core.io.support.PropertiesLoaderSupport.loadProperties(172) | Loading properties file from class path resource [properties/resource.properties]
2018-12-10 19:15:16,028 INFO [localhost-startStop-1] org.springframework.beans.factory.annotation.AutowiredAnnotationBeanPostProcessor.<init>(153) | JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2018-12-10 19:15:16,059 INFO [localhost-startStop-1] org.springframework.web.context.ContextLoader.initWebApplicationContext(325) | Root WebApplicationContext: initialization completed in 435 ms
2018-12-10 19:15:16,093 INFO [localhost-startStop-1] org.springframework.web.servlet.FrameworkServlet.initServletBean(484) | FrameworkServlet 'tao-portal': initialization started
2018-12-10 19:15:16,095 INFO [localhost-startStop-1] org.springframework.context.support.AbstractApplicationContext.prepareRefresh(510) | Refreshing WebApplicationContext for namespace 'tao-portal-servlet': startup date [Mon Dec 10 19:15:16 CST 2018]; parent: Root WebApplicationContext
2018-12-10 19:15:16,096 INFO [localhost-startStop-1] org.springframework.beans.factory.xml.XmlBeanDefinitionReader.loadBeanDefinitions(317) | Loading XML bean definitions from class path resource [spring/springmvc.xml]
2018-12-10 19:15:16,195 INFO [localhost-startStop-1] org.springframework.beans.factory.annotation.AutowiredAnnotationBeanPostProcessor.<init>(153) | JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
